I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,D
37.079,44.323,28.263,27.135,21.493,22.149,39.655,30.283,25.027,48.161,10.029,35.959,14.773,24.5,19.678,122.62
50.61,44.739,33.072,24.176,39.012,43.987,10.483,23.517,29.692,7.494,24.822,17.904,43.131,20.615,24.008,135.58
44.136,44.044,30.876,31.151,39.749,33.75,36.013,36.815,27.348,31.512,35.55,30.725,29.616,27.053,24.288,136.23
8.1387,25.616,26.14,29.968,23.593,13.173,16.412,7.308,29.371,25.646,21.47,28.667,15.513,17.409,32.986,83.999
5.7569,17.604,26.554,39.691,12.989,29.27,15.055,33.542,21.834,28.816,38.249,28.587,34.313,29.525,22.372,83.246
26.452,41.705,31.19,41.749,50.643,30.899,27.58,42.086,39.324,21.227,29.799,36.336,48.098,19.744,34.593,126.38
34.735,31.977,44.002,14.306,43.92,45.46,35.202,25.18,28.961,22.233,17.453,14.456,27.446,26.716,35.792,123.06
11.955,28.926,42.038,34.601,34.38,46.291,24.609,25.024,24.695,40.549,25.755,30.517,25.95,12.112,34.493,107.65
28.882,28.741,28.541,21.874,43.25,19.407,42.516,28.534,14.381,23.369,29.892,24.866,24.182,40.094,48.441,110.02
24.274,37.503,38.8,33.429,38.079,15.374,31.629,22.919,22.277,27.59,20.421,33.877,14.712,40.969,34.582,116.08
49.34,17.467,31.846,47.09,43.743,21.11,39.46,27.474,36.342,45.705,48.926,22.067,42.925,39.499,25.419,129.61
17.093,34.982,27.532,26.43,31.566,35.282,17.632,35.6,40.874,38.355,39.441,22.876,30.873,19.932,38.219,105.65
28.059,27.94,25.015,43.171,32.888,24.59,36.814,38.414,30.461,27.44,50.616,30.319,15.679,26.962,35.338,114.22
16.71,33.97,15.069,26.782,36.114,18.807,37.286,35.007,33.845,46.62,21.122,20.055,14.47,35.364,36.152,99.334
41.074,4.8608,28.866,39.639,4.7943,16.296,20.913,22.683,33.803,17.343,17.251,30.226,26.812,15.009,35.622,97.663
30.41,36.988,21.397,39.174,45.019,10.797,41.244,26.958,40.204,32.156,36.536,24.895,22.209,37.877,32.164,118.01
22.668,30.879,31.821,31.462,22.017,24.258,25.754,25.454,31.455,36.891,20.466,33.058,29.754,37.146,43.763,106.64
31.108,29.628,24.109,22.243,24.182,30.023,24.022,26.481,37.652,20.552,29.365,11.494,24.17,10.815,23.85,107
26.307,42.597,29.854,38.911,20.878,45.476,9.816,13.043,19.054,27.992,8.49,35.349,16.043,32.854,29.76,114.74
34.564,22.944,11.451,30.197,33.029,42.749,41.725,42.051,26.578,20.874,25.478,10.511,43.304,9.4965,18.635,108.71
28.19,12.42,16.822,27.885,38.26,29.355,32.954,25.114,37.425,20.353,24.16,25.317,38.261,43.614,22.568,97.534
31.084,46.443,37.153,34.997,20.993,14.95,39.185,30.929,27.21,38.626,26.109,48.296,22.493,18.26,23.168,124.28
32.237,43.766,25.899,32.486,25.594,32.876,27.08,33.669,31.364,40.583,20.625,16.053,29.68,42.239,38.214,121.39
45.783,13.211,23.734,29.178,19.221,32.787,13.624,29.254,38.324,27.282,27.998,27.843,35.395,17.948,47.852,108.97
30.009,39.502,24.211,22.466,38.068,27.526,20.419,48.278,10.651,4.6097,43.431,10.165,28.299,9.3002,33.712,112.73
21.356,7.3347,34.294,30.558,22.163,25.165,27.014,18.919,27.261,22.678,18.638,25.253,37.426,35.965,31.562,91.347
23.118,29.268,48.503,27.563,24.616,29.284,25.581,25.211,47.507,10.212,33.088,22.163,24.492,27.894,32.612,112.33
13.422,30.096,41.374,30.652,22.781,26.052,29.376,33.577,30.902,37.711,31.219,18.991,12.183,33.723,33.916,103.95
31.557,2.4845,35.953,7.7857,30.157,37.052,19.457,22.525,29.389,28.383,39.818,23.06,28.597,27.313,30.398,92.18
19.621,33.572,22.994,19.274,33.732,39.383,17.31,31.089,18.331,19.666,29.446,28.093,20.62,47.271,41.028,101.29
36.047,19.317,42.324,45.998,29.993,21.004,28.664,21.087,39.83,27.396,30.133,25.846,29.056,39.59,26.504,119.61
19.183,37.589,18.237,31.109,15.955,31.772,21.227,36.956,23.568,16.953,34.478,36.072,18.743,36.734,45.041,100.85
46.683,43.107,50.109,33.332,44.698,18.059,8.1346,32.078,33.088,49.327,43.605,24.331,28.13,33.325,33.547,140.77
23.946,20.614,42.015,21.245,34.334,20.815,24.097,35.029,33.127,32.427,41.706,26.221,34.117,47.656,21.257,105.67
18.476,38.401,4.227,28.814,34.946,52.228,46.587,25.61,35.552,31.571,16.091,20.16,27.809,44.031,27.831,102.57
32.112,28.048,41.879,34.501,45.683,42.991,17.227,26.723,26.39,44.39,37.837,35.961,32.704,18.59,30.436,123.99
24.43,24.311,20.205,18.036,28.245,36.819,24.68,24.343,25.82,49.601,32.357,18.416,6.3282,27.955,20.631,98.177
55.133,20.327,29.61,14.495,43.029,30.828,24.632,43.354,13.059,19.535,17.108,34.839,44.944,23.356,48.785,122.93
32.145,40.383,27.885,17.461,23.867,32.148,35.26,29.329,25.103,44.104,41.534,21.67,27.619,37.942,41.256,116.03
36.157,38.012,39.034,44.393,33.832,34.333,19.242,42.261,27.905,35.648,26.398,31.654,34.572,34.237,17.08,131.49
11.43,30.69,24.497,16.945,28.055,33.922,25.519,37.868,49.592,41.135,17.663,40.526,19.486,37.326,27.119,94.868
22.963,31.012,43.921,30.266,32.419,28.842,19.657,38.712,19.786,27.743,36.748,35.084,23.22,17.31,35.186,113.85
25.621,22.845,6.3235,41.251,28.521,23.012,32.016,25.497,31.162,30.192,37.276,33.77,39.547,19.502,38.399,97.716
25.892,34.504,39.821,27.045,28.932,21.295,44.561,32.257,27.03,17.18,20.556,31.685,27.268,44.135,29.245,115.37
37.712,11.06,27.381,32.169,35.276,35.437,34.348,29.059,24.914,21.845,25.466,50.757,54.746,44.701,10.446,110.15
33.465,44.784,20.953,10.63,39.119,34.456,32.113,26.208,18.948,15.698,41.558,26.082,21.558,30.818,28.226,115.49
44.571,23.296,44.71,23.933,57.424,27.212,12.711,34.492,37.797,39.515,43.532,25.276,27.445,24.322,35.09,128.44
1.1913,27.653,20.021,40.102,33.473,39.068,40.312,46.246,12.046,16.535,32.956,26.597,30.289,20.489,32.924,91.01
34.019,15.777,13.727,40.584,24.915,28.183,38.763,24.402,28.8,17.655,38.258,29.65,16.322,15.65,48.278,103.18
27.126,24.303,19.414,15.661,15.176,31.92,6.697,37.669,24.283,37.694,43.101,32.436,34.765,32.396,37.182,93.745
23.804,28.151,24.938,35.819,37.655,19.469,32.109,20.188,30.994,36.221,42.414,25.22,18.331,30.836,23.022,107.42
20.271,39.663,34.136,27.868,28.275,39.107,34.516,32.681,45.455,29.295,34.651,13.056,8.7305,11.327,42.756,114.64
31.775,44.801,34.807,19.304,32.281,36.315,8.8217,43.171,42.595,43.075,12.369,26.8,47.532,33.237,31.721,121.67
13.257,32.298,21.65,39.747,25.646,39.226,38.209,29.937,39.271,27.421,33.802,20.035,25.889,37.026,47.191,103.22
41.711,13.373,21.236,11.591,38.405,21.58,35.63,18.841,25.937,29.126,60.031,43.898,28.935,25.926,20.197,103.58
40.951,24.026,32.846,37.847,40.076,16.958,30.147,34.732,27.557,28.17,30.183,39.564,36.051,35.455,29.954,122.22
36.711,29.614,40.459,38.773,33.405,57.756,41.04,25.842,30.813,30.423,25.774,33.78,42.884,53.103,27.532,130.64
34.875,40.85,17.755,36.706,26.166,13.161,32.239,26.965,26.653,14.271,20.148,35.546,25.252,24.202,35.04,115.19
18.409,34.633,32.514,33.767,32.857,20.323,29.011,30.9,20.272,43.413,22.056,22.186,15.168,26.597,28.349,108.17
10.895,37.292,27.177,34.584,33.353,43.414,39.463,27.294,26.047,44.737,11.979,43.835,28.342,41.826,44.692,106.69
35.013,32.62,26.375,26.699,29.901,33.625,34.588,29.071,43.914,43.412,9.5643,29.283,20.09,33.002,26.742,117.86
37.498,20.311,9.2812,22.808,34.698,28.543,16.767,27.898,28.342,18.184,30.707,28.516,44.603,32.513,36.797,101.04
43.283,25.307,23.493,45.116,46.908,24.551,25.807,17.944,29.092,36.089,25.518,40.115,27.681,28.33,24.684,123.72
13.948,35.731,27.165,35.639,21.534,35.011,31.379,33.723,27.256,29.846,43.656,41.911,43.421,19.057,9.5713,104.86
34.097,32.568,22.209,27.547,27.979,28.949,41.957,6.4934,31.998,22.696,28.287,48.673,48.377,27.461,13.125,112.59
18.514,46.017,32.979,29.803,32.539,30.808,26.906,29.968,31.995,35.36,34.561,25.508,30.855,38.301,15.238,115.61
14.696,17.319,42.3,36.385,48.594,40.604,33.647,29.779,35.131,25.235,32.324,35.313,44.417,39.145,37.452,107.61
3.6523,34.378,30.92,41.757,37.805,23.773,33.457,31.392,19.443,37.197,37.74,34.424,38.743,13.02,30.036,100.35
23.324,23.784,28.91,35.999,22.461,31.224,33.591,37.609,36.865,14.763,24.979,25.268,44.871,32.519,17.85,105.76
31.647,20.225,24.575,30.884,46.76,37.905,23.352,13.546,29.333,38.972,37.407,29.639,50.31,29.388,34.419,110.37
33.569,31.333,13.846,42.057,26.292,35.297,22.902,20.738,27.84,31.524,25.84,27.795,25.679,22.459,36.922,111.85
29.155,18.438,29.828,28.14,32.951,31.314,34.277,25.262,35.272,27.944,25.796,35.496,22.949,38.593,22.119,107.15
33.825,30.659,17.993,25.66,33.671,30.192,53.095,55.263,58.52,32.442,29.101,40.955,28.674,18.471,39.188,116.66
48.523,18.789,27.533,31.514,25.451,16.414,30.075,37.136,39.021,23.709,24.276,18.428,26.937,7.6624,27.396,117.5
24.945,23.108,18.896,8.9522,14.433,20.14,40.314,34.956,34.032,38.561,29.411,20.909,36.946,41.47,16.286,90.92
54.14,34.196,36.128,47.208,21.645,18.588,20.762,15.004,44.751,20.024,19.947,36.679,30.737,24.35,49.638,134.87
18.65,39.093,38.166,44.373,39.004,44.64,22.167,30.058,14.057,51.99,22.984,29.08,38.057,38.234,18.564,120.05
22.96,56.303,50.015,29.167,24.857,36.069,32.279,20.625,43.295,32.854,36.034,24.163,22.022,27.285,49.158,129.83
31.805,40.378,32.443,24.351,24.062,42.569,23.425,44.792,39.606,43.313,24.495,40.467,30.999,52.03,21.924,121.78
15.978,35.786,31.508,24.426,17.452,31.166,21.894,25.511,18.215,35.324,35.433,29.936,4.5181,27.753,33.196,100.54
42.986,35.179,24.225,32.018,23.289,20.57,26.4,36.552,39.603,24.285,19.736,33.815,5.7741,9.1108,23.821,121.14
41.118,31.827,43.348,29.209,53.097,15.776,22.883,14.472,29.186,31.175,19.838,29.821,24.136,23.914,34.217,127.54
14.946,13.429,25.896,37.926,14.062,48.285,32.917,29.93,16.348,27.438,31.249,41.904,15.547,23.357,34.135,91.631
42.271,17.919,36.287,17.495,41.311,40.502,18.082,22.638,41.419,17.356,19.491,42.95,37.529,16.25,29.741,116.29
39.977,23.392,24.049,30.068,36.276,26.526,44.774,44.936,36.372,34.869,22.145,33.281,8.1943,37.28,26.527,118.47
34.672,21.575,40.078,15.725,21.288,25.285,14.247,32.473,16.779,30.556,19.651,32.27,39.66,30.008,22.461,106.54
25.915,44.052,29.219,22.098,33.395,33.078,17.136,30.005,36.887,29.567,42.673,21.414,38.138,21.673,54.693,115.73
11.613,26.454,23.188,28.512,16.032,27.44,31.314,27.724,41.037,39.302,29.099,21.039,28.105,26.93,26.005,91.552
38.344,25.21,22.185,25.723,41.66,19.381,34.936,20.63,24.069,15.552,25.601,34.209,33.215,21.675,33.095,112.21
31.752,37.205,31.653,23.682,21.233,23.015,35.228,34.378,26.848,47.96,36.93,31.431,39.967,20.628,20.549,116.19
27.556,35.926,34.091,41.504,38.275,26.448,37.239,35.423,33.239,25.397,23.423,13.777,38.581,17.405,43.848,122.08
24.974,27.723,40.463,43.58,25.799,36.074,42.436,32.414,21.398,28.625,34.606,33.123,42.935,15.953,36.903,117.87
13.05,17.867,44.819,16.051,47.141,32.962,36.831,38.642,38.115,26.166,34.093,25.895,41.577,32.686,45.754,100.95
26.317,33.928,25.268,36.149,38.282,39.421,27.4,15.275,38.657,47.423,24.046,18.463,36.708,35.286,42.747,115.29
52.76,34.786,22.439,29.533,26.175,25.846,37.471,39.979,38.916,33.934,27.546,25.262,24.064,13.533,12.954,130.15
22.508,35.619,17.79,40.417,36.04,29.938,38.846,37.929,46.15,30.678,25.51,19.515,25.564,44.592,40.506,112.35
31.736,16.449,39.983,39.837,34.225,26.595,19.269,46.516,37.037,26.842,33.32,34.013,36.182,23.323,17.517,114.76
25.962,24.956,28.439,30.51,21.138,41.574,21.392,17.286,32.79,34.447,31.673,31.989,19.689,30.817,24.798,105.43
-1.9262,28.972,44.263,40.483,22.148,26.435,25.534,32.693,32.642,36.466,27.913,28.777,35.554,20.597,44.166,93.831
17.289,47.771,38.412,23.118,26.023,23.804,53.096,59.99,26.293,32.653,31.52,66.961,25.624,34.503,15.347,117.43
44.128,15.765,16.641,44.749,19.447,24.368,11.101,22.248,36.902,33.451,21.024,45.801,40.614,41.529,25.196,108.59
45.877,26.321,31.516,35.866,45.472,34.282,15.956,47.147,20.527,20.105,37.008,36.799,40.144,48.643,9.5282,128.35
30.64,24.242,24.164,24.676,29.082,32.521,28.403,27.977,10.618,29.28,32.92,26.212,12.236,20.548,14.128,105.47
26.03,32.911,22.926,21.509,30.85,18.454,32.564,22.656,33.74,32.215,25.078,34.634,32.86,27.883,28.658,105.13
35.836,37.44,28.876,27.858,26.699,33.591,38.819,15.379,27.91,17.052,25.171,30.68,18.026,25.634,17.863,119.74
48.203,33.643,31.327,18.911,39.763,38.74,35.666,36.795,21.696,28.82,22.517,9.0487,30.892,27.668,37.137,129.54
37.408,33.606,39.381,29.585,54.604,31.633,30.786,35.866,33.009,22.784,26.397,32.391,38.894,38.191,23.303,130.36
20.064,37.726,39.75,31.158,29.95,12.622,26.818,30.994,20.584,17.762,32.118,31.736,14.926,36.603,22.03,110.31
27.619,23.248,41.551,34.041,36.859,32.744,38.429,39.67,51.863,21.234,33.864,28.911,43.923,29.548,28.241,118.23
35.813,29.803,22.385,22.541,30.195,26.022,34.188,42.343,35.288,46.889,32.966,40.893,31.749,29.091,35.399,114.34
19.638,26.577,26.558,29.787,18.25,25.125,34.935,43.461,26.752,20.232,40.977,36.031,41.042,21.247,41.571,100.47
28.086,23.404,28.75,21.728,23.151,28.32,44.536,31.865,22.786,25.395,28.678,22.661,24.331,19.901,28.641,104.76
15.946,25.404,44.186,11.505,33.431,20.295,24.648,26.718,36.628,20.409,32.531,26.726,38.176,18.574,18.467,98.349
27.886,12.313,2.922,11.617,21.936,30.321,22.922,19.876,26.307,23.75,4.6751,47.378,34.808,33.546,31.519,78.592
28.753,26.935,23.044,17.668,28.167,25.722,15.442,38.99,25.258,36.255,28.14,20.695,32.134,21.18,36.503,102
32.65,32.577,35.35,27.54,21.973,23.305,18.539,27.278,37.403,16.902,28.947,24.65,31.737,30.517,36.164,113.96
38.743,46.647,43.647,38.255,38.902,19.232,22.498,25.432,37.587,49.873,28.202,36.752,36.417,42.98,19.925,136.8
38.696,20.2,28.933,34.715,45.04,33.667,29.738,23.701,41.613,14.116,58.959,52.018,26.766,38.362,32.191,119.35
40.67,22.505,25.824,42.058,25.131,48.685,23.882,36.824,34.662,16.279,50.885,31.049,23.61,30.604,15.17,120.59
33.036,33.458,19.884,26.035,13.851,18.99,32.933,24.396,29.507,41.213,21.013,19.389,41.373,-0.19017,29.935,106.38
24.177,48.527,34.947,21.311,47.399,35.042,44.313,46.129,16.257,42.481,21.88,22.287,38.713,32.7,49.428,124.71
23.435,12.339,13.454,30.095,42.838,32.883,33.397,33.032,20.702,27.661,20.421,33.133,30.958,19.884,44.947,94.378
40.954,25.253,35.437,23.911,26.751,23.342,9.8169,25.852,39.608,25.198,1.6896,20.238,40.976,45.357,24.756,113.71
33.391,30.434,28.909,7.7418,36.526,36.85,35.346,25.54,16.357,40.51,16.807,26.541,25.757,59.174,34.962,110.31
25.246,36.066,15.78,14.147,42.958,28.484,29.443,19.657,18.805,36.212,32.672,24.693,23.317,32.981,22.919,103.36
33.729,34.042,34.869,46.263,23.433,18.325,18.398,26.08,26.725,22.357,10.42,40.429,30.608,26.83,37.726,119.27
33.525,41.629,21.55,24.854,26.003,22.834,30.163,32.643,12.901,46.972,32.551,38.519,9.4204,24.13,25.622,115.19
35.474,32.402,31.644,18.47,28.36,31.442,24.643,15.341,26.04,43.931,26.266,28.032,28.99,16.179,34.347,114.32
5.7175,10.713,17.758,21.438,30.611,25.763,24.115,43.165,25.221,30.044,33.557,18.117,20.872,32.517,31.76,75.263
46.828,38.532,34.339,33.192,37.662,30.199,21.044,44.477,32.85,37.992,46.795,16.207,43.711,20.68,26.568,135.62
31.89,24.269,40.815,26.86,36.714,26.318,41.609,23.82,40.751,19.746,30.064,41.291,33.496,39.657,24.179,117.21
27.501,44.294,34.663,30.718,18.308,13.455,26.419,37.607,26.552,32.245,22.354,30.299,16.153,48.46,31.922,115.93
30.376,24.875,53.149,45.197,10.519,43.713,30.795,15.812,21.822,25.937,39.085,13.432,29.731,49.362,16.582,119.66
18.835,19.454,45.02,47.52,35.904,29.127,47.8,32.273,28.897,50.248,30.861,13.751,8.9026,35.105,42.833,113.27
24.938,34.975,30.864,37.824,23.332,45.615,37.549,19.227,21.795,28.365,41.266,13.153,26.76,31.098,9.0782,115.41
43.525,35.003,22.831,45.377,30.924,34.058,40.114,11.89,51.818,22.856,31.638,37.298,30.657,32.154,16.591,128.85
30.482,26.24,49.828,22.796,27.764,43.192,6.7977,38.009,43.016,35.166,30.964,22.68,30.819,29.972,35.526,116.92
34.323,29.734,47.069,31.475,43.53,18.721,17.991,24.664,17.002,36.092,45.435,39.486,35.292,13.377,19.519,122.73
32.364,19.863,45.606,43.692,30.204,31.771,32.87,35.678,21.425,19.614,27.145,24.687,27.625,42.361,35.537,119.86
21.663,16.99,42.377,29.04,13.619,35.447,13.304,9.0385,28.023,31.868,28.941,36.049,43.916,31.909,30.549,97.51
31.774,16.75,18.55,44.916,30.836,26.189,24.445,37.386,9.9693,14.633,34.423,27.038,28.267,24.896,19.347,104.47
31.671,38.367,33.924,46.044,20.746,19.73,36.192,27.024,12.987,38.256,15.201,42.284,43.741,31.151,33.956,121.32
27.8,32.55,33.818,28.741,54.148,39.954,61.396,28.047,34.583,22.526,27.384,39.587,30.945,17.436,33.593,123.62
32.456,21.741,31.052,39.771,18.235,32.998,47.443,24.929,48.988,34.791,25.356,27.298,26.521,35.219,33.257,114.2
34.079,28.41,25.995,20.578,30.935,29.922,8.2234,41.466,31.218,31.41,20.437,28.399,9.7525,31.519,37.573,109.07
50.826,21.163,33.427,44.742,30.708,42.51,40.455,29.403,18.509,46.492,28.84,27.52,15.856,33.312,24.162,132.25
31.785,13.707,11.616,30.721,41.102,31.418,38.979,27.542,35.618,36.38,17.798,36.09,38.084,12.983,30.77,101.42
17.641,26.859,26.016,25.806,31.988,35.271,34.501,24.169,31.328,49.676,12.791,12.866,21.603,41.068,21.894,100.95
7.5501,2.0825,21.934,36.694,39.298,31.991,48.709,31.58,45.851,32.242,26.812,35.326,35.003,6.9797,9.6504,82.855
48.6,18.507,48.432,33.702,23.817,23.441,13.763,28.86,36.335,24.676,29.59,29.217,33.754,31.512,25.192,124.71
24.475,21.065,37.633,38.532,23.742,32.796,39.2,30.377,26.921,39.868,24.946,10.568,28.288,35.03,23.532,109.89
26.08,37.744,7.9515,35.875,26.675,47.153,24.135,51.035,31.711,19.443,31.966,31.161,47.292,36.03,6.127,109.18
37.677,4.7334,34.424,23.94,33.066,18.898,25.715,36.558,23.163,57.814,38.591,45.929,23.143,37.99,24.887,103.78
34.688,39.092,25.481,28.361,40.322,33.458,29.066,25.673,44.288,27.761,41.249,26.631,26.936,18.437,46.83,122.85
20.498,18.33,43.137,30.41,34.412,18.252,26.562,34.659,39.193,30.638,31.874,39.136,29.215,36.141,22.478,104.93
18.349,28.128,42.648,42.196,30.737,12.408,21.757,35.126,19.126,12.831,44.382,10.042,21.28,29.908,29.334,107.29
9.1425,53.797,32.171,30.695,40.265,37.89,36.2,38.784,37.245,35.756,29.431,27.69,23.486,32.884,27.478,116.53
22.425,23.045,9.7766,16.669,16.796,19.624,28.518,15.207,23.832,44.469,28.767,17.842,17.089,39.697,23.243,84.583
28.208,27.535,20.579,35.946,44.346,27.982,30.17,32.803,21.298,29.351,41.318,18.064,24.986,-7.3718,20.843,111.12
19.945,24.342,36.84,18.578,39.066,44.075,46.498,36.083,27.999,51.082,12.331,36.309,33.152,19.326,21.619,108.28
36.476,33.341,22.017,30.851,29.083,37.031,32.534,27.929,32.909,29.701,27.233,25.959,25.545,22.126,27.677,118.38
28.806,41.8,23.706,42.434,37.901,13.233,27.536,31.353,20.755,25.082,16.577,38.797,20.831,45.883,41.012,117.76
55.037,41.147,25.483,23.887,25.984,36.109,15.273,19.231,28.874,51.298,43.826,33.562,24.407,23.209,24.109,132.49
29.425,29.236,29.341,38.676,-4.072,24.792,18.543,38.169,21.459,28.194,40.296,12.874,17.56,19.973,23.147,101.94
25.133,31.332,23.246,30.521,32.687,20.812,5.6001,32.247,36.06,21.275,45.347,33.428,46.394,11.842,17.169,104.29
31.523,20.549,26.937,29.612,27.343,33.427,22.783,33.922,27.227,30.501,13.136,25.829,34.951,18.971,5.841,107.08
53.384,36.115,40.518,16.652,25.608,19.09,40.972,36.796,23.319,31.354,31.318,48.688,30.479,29.561,24.17,132.9
39.022,30.916,35.435,26.694,47.64,48.293,19.053,20.481,31.064,29.452,40.693,24.325,32.608,30.465,36.315,126.37
30.632,34.836,14.989,30.409,32.263,27.811,24.797,33.126,35.54,22.033,32.862,24.945,53.911,31.174,40.743,110.56
42.598,44.676,27.852,18.141,27.38,41.755,17.238,22.84,24.518,33.96,32.703,8.3483,51.054,25.786,35.851,124.95
29.335,34.995,28.035,19.889,34.55,62.564,17.516,30.395,29.228,26.484,32.721,27.565,27.694,43.169,19.108,115.81
11.618,51.818,19.587,24.491,23.262,42.685,48.456,26.381,19.404,27.906,9.5406,23.619,27.586,21.912,53.633,105.7
45.144,32.331,32.042,35.975,16.177,42.439,29.22,16.393,42.054,36.162,27.828,21.91,34.782,24.211,25.997,126.72
29.372,25.473,35.86,24.246,24.103,24.432,40.7,32.107,23.512,24.2,39.192,40.824,29.256,19.182,9.643,110.27
33.571,19.493,41.549,32.413,46.802,27.095,33.104,17.988,28.578,26.425,22.706,37.583,12.848,35.512,43.575,117.6
22.044,30.205,48.817,24.593,20.37,13.376,36.74,26.965,19.455,37.576,32.159,20.715,28.666,38.539,38.145,108.52
25.784,23.744,20.621,32.669,36.787,32.152,34.396,31.699,30.098,10.454,29.739,27.71,30.266,25.979,46.151,105.5
23.33,15.556,25.159,43.381,12.852,19.129,20.509,19.284,33.555,19.123,36.983,40.29,33.953,36.152,25.531,94.456
47.304,31.998,34.319,18.815,24.18,52.083,41.996,37.173,41.999,25.033,24.511,30.429,32.261,32.298,35.098,129.64
33.572,25.549,20.896,25.164,40.847,35.817,30.143,34.248,17.608,27.452,34.53,32.044,32.608,30.787,20.055,111.53
39.575,7.9502,43.95,13.558,44.306,35.294,27.586,26.653,42.538,30.79,19.995,31.895,45.426,20.804,33.794,111.61
23.22,25.483,15.974,39.425,26.975,7.2837,54.11,35.705,28.514,27.553,22.87,22.926,33.781,9.2493,29.782,100.12
22.913,35.66,33.689,40.673,29.464,17.516,24.651,31.348,21.245,32.587,28.464,24.072,25.491,34.803,12.867,112.91
46.577,41.833,20.489,30.646,20.07,36.642,16.972,33.816,30.22,30.545,32.176,45.847,27.97,37.948,33.575,126.29
26.557,15.867,34.779,30.41,25.875,37.123,24.957,29.798,32.681,16.414,25.899,32.556,19,37.096,23.355,104.3
19.212,39.924,26.093,31.76,30.06,43.221,29.507,18.481,21.708,51.949,45.467,30.689,27.446,36.718,26.571,111.38
43.281,41.889,39.768,26.431,18.686,36.795,22.666,44.339,39.401,27.792,33.492,14.06,23.393,17.366,36.131,131.45
20.959,29.807,32.839,46.309,42.505,24.593,21.187,52.735,29.871,31.779,34.546,41.146,34.772,33.475,26.073,115.13
27.579,30.176,38.863,34.832,16.1,38.821,19.899,40.297,28.144,33.183,38.7,27.032,28.949,31.707,69.644,114.79
33.287,23.166,17.163,50.916,31.929,28.35,18.48,34.379,38.421,33.58,24.241,21.037,38.827,46.601,33.437,112.24
41.258,35.627,33.37,31.001,47.531,28.521,22.544,13.118,28.893,12.399,16.154,47.686,29.745,18.355,31.906,126.66
20.829,21.511,22.033,15.915,32.071,24.068,24.663,39.025,34.518,27.225,25.775,46.358,11.42,17.446,33.752,93.929
33.282,21.832,23.731,47.382,22.798,34.155,25.851,25.073,24.401,18.145,25.92,21.807,33.487,31.063,23.63,111.18
42.563,39.831,20.841,33.435,22.228,22.478,20.318,39.183,28.588,14.595,31.212,40.74,34.658,23.428,19.865,121.59
22.084,9.1406,32.068,34.553,28.248,31.785,47.879,30.021,17.375,41.63,31.34,27.024,37.96,40.85,28.193,99.183
31.702,16.541,24.124,31.365,20.359,28.154,39.176,27.897,42.1,39.206,37.327,33.366,34.453,39.492,26.271,104.88
43.787,31.619,30.155,16.293,30.093,51.845,30.748,19.451,21.792,41.948,27.063,29.001,53.588,25.844,41.524,122.77
25.873,54.54,26.044,28.664,33.359,37.713,31.538,24.834,23.162,27.597,36.384,22.014,28.269,26.151,30.122,122.89
28.683,29.986,13.331,14.612,20.896,17.852,7.3369,37.236,32.093,39.174,34.234,30.73,51.312,35.004,18.835,94.51
14.744,25.766,39.66,30.839,30.641,22.678,29.759,15.067,32.11,29.616,47.485,42.326,36.138,51.547,19.363,102.27
10.217,22.737,16.36,38.841,24.912,43.016,45.92,19.34,9.2165,30.911,28.948,50.757,34.714,43.658,16.613,91.608
34.404,34.521,43.557,26.341,22.624,24.212,19.961,23.798,35.064,34.863,24.921,52.224,35.667,46.945,45.998,120.16
38.218,28.109,38.148,10.028,13.843,25.346,34.027,25.788,30.923,25.599,30.902,22.35,34.975,43.835,36.256,110.81
23.967,20.26,38.018,32.875,22.73,34.239,31.412,32.625,37.592,47.795,38.613,27.831,44.479,34.813,48.238,108.42
28.579,35.73,37.048,22.509,34.142,39.877,30.598,30.626,16.924,33.004,27.767,16.075,33.411,27.615,35.475,117.95
29.735,20.626,41.377,29.423,27.327,29.699,23.093,16.802,11.767,28.065,44.827,37.704,36.841,18.788,38.508,109.25
61.085,5.3263,14.897,7.7351,42.673,19.006,36.57,25.843,38.575,26.473,21.5,22.23,35.396,31.903,17.337,108.59
31.253,36.072,46.291,23.897,28.679,29.961,33.217,44.852,43.992,35.819,36.479,14.772,35.765,36.937,34.726,124.44
33.497,27.822,36.367,24.557,39.748,45.764,29.177,33.564,19.51,19.398,29.888,36.906,6.7635,35.406,32.777,119.36
33.959,21.918,24.609,21.327,46.986,27.788,33.367,20.993,21.944,30.579,17.304,30.59,31.643,16.258,33.057,109.25
55.219,56.428,28.247,14.619,31.196,31.503,32.943,36.955,30.192,35.129,16.299,46.885,29.931,35.414,15.456,141.81
23.793,2.3069,32.88,36.25,37.429,17.802,24.842,28.132,21.666,27.978,28.006,17.509,26.14,32.993,20.305,93.171
18.767,48.639,20.384,43.056,39.291,40.29,43.844,36.073,45.207,28.65,7.7978,15.102,14.714,13.27,25.866,119.66
2.6238,32.36,33.782,30.718,54.276,38.138,25.687,34.322,46.948,30.873,35.671,24.491,24.838,37.667,44.689,102.02
24.975,16.595,12.158,43.397,28.243,20.671,12.699,26.527,31.719,27.556,14.409,26.524,45.544,26.907,38.376,93.623
29.129,33.85,37.061,55.881,42.78,23.132,22.235,37.149,37.53,46.631,12.59,30.569,45.578,22.809,41.229,126.69
